test,set_type,set_number,order,sentence,kana
1,practice,1,1,エンドロール,えんどろーる
1,practice,1,2,リラックスする,りらっくすする
1,practice,1,3,新鮮な空気,しんせんなくうき
1,practice,1,4,雪の下の春,ゆきのしたのはる
1,practice,1,5,古いスマホ,ふるいすまほ
1,practice,2,1,秘密基地に行く,ひみつきちにいく
1,practice,2,2,北海道,ほっかいどう
1,practice,2,3,新たな時代,あらたなじだい
1,practice,2,4,麦わら帽子,むぎわらぼうし
1,practice,2,5,電車に乗る,でんしゃにのる
1,practice,3,1,パラダイムシフト,ぱらだいむしふと
1,practice,3,2,時計の針,とけいのはり
1,practice,3,3,ランプの明かり,らんぷのあかり
1,practice,3,4,言葉の力,ことばのちから
1,practice,3,5,事の顛末,ことのてんまつ
1,practice,4,1,梅雨の季節,つゆのきせつ
1,practice,4,2,御茶ノ水,おちゃのみず
1,practice,4,3,旅立ちの日に,たびだちのひに
1,practice,4,4,清澄白河,きよすみしらかわ
1,practice,4,5,海外旅行,かいがいりょこう
1,practice,5,1,料理上手,りょうりじょうず
1,practice,5,2,風が強い日,かぜがつよいひ
1,practice,5,3,春風が吹く,はるかぜがふく
1,practice,5,4,抹茶味,まっちゃあじ
1,practice,5,5,論文投稿,ろんぶんとうこう
1,practice,6,1,仕事帰り,しごとがえり
1,practice,6,2,充電器,じゅうでんき
1,practice,6,3,友達の家,ともだちのいえ
1,practice,6,4,夜の星空,よるのほしぞら
1,practice,6,5,一心同体,いっしんどうたい
